epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.10505716502666473,4.369271278381348,0.001,0.05735575780272484,4.370658874511719
1,0.11929380893707275,3.8136167526245117,0.001,0.16810226440429688,3.385169506072998
2,0.1022200956940651,3.8017029762268066,0.001,0.12831555306911469,3.3909666538238525
3,0.1766505390405655,3.2621209621429443,0.001,0.18348373472690582,2.8296873569488525
4,0.32906633615493774,2.566253662109375,0.001,0.37708503007888794,2.1843528747558594
5,0.443301260471344,2.044013023376465,0.001,0.46554553508758545,1.8897827863693237
6,0.5623044967651367,1.5033986568450928,0.001,0.5212606191635132,1.56321382522583
7,0.7044145464897156,0.9475618600845337,0.001,0.8247197270393372,0.5588263273239136
8,0.8622481226921082,0.4349314868450165,0.001,0.8413317203521729,0.5448680520057678
9,0.9189383387565613,0.2682829797267914,0.001,0.961785614490509,0.13371098041534424
